trial,elapsed_s,rmse,learning_rate,num_leaves,max_depth,min_child_samples,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2
91,31.28,488.69666785379957,0.2160823815347431,226,3,6,0.8500909833727932,0.6486257882027509,6,0.0003902549167781183,0.005324978858985622
92,31.39,473.49560599623226,0.22285932202565675,231,3,7,0.8544737926605253,0.6477600592578552,6,0.0003412101153659977,0.005479454750055489
93,31.56,485.47597849932356,0.22282070174617788,233,3,5,0.8504952738380804,0.6456205275909769,6,0.0003559767413895648,0.004909428887382653
94,31.72,487.5809207395112,0.22424166678532526,231,3,6,0.8448726524429234,0.6386969583057496,6,0.0003796146026894322,0.005303415495023796
95,31.84,481.88458723019875,0.20500037814923266,225,3,6,0.8543387483308778,0.6436938756302674,6,0.0004124492958885519,0.0052215902790214925
96,32.37,484.2209022626979,0.20831208861054645,227,3,6,0.857926502408049,0.645937524430525,6,0.00038222690997994296,0.005191077306162221
97,32.49,489.9207277460605,0.2143655809509072,229,3,6,0.858339651004467,0.6459709679727663,6,0.00034894276601250986,0.005606375178444551
98,32.62,464.4389412954003,0.20873056623209815,228,3,5,0.857509989317774,0.6434924269260537,6,0.00037995772054885647,0.005163984755842942
99,32.77,481.5566926755164,0.21508962431439724,227,3,5,0.8497727377737431,0.6433490403806216,6,0.00033250225222613433,0.005496737254806107
100,32.9,464.75643246533616,0.2144614637514074,230,3,5,0.8545411801652673,0.6420315733655142,6,0.0003329515079930249,0.0055296134928888765
